paragraph_arr,freq,title,rank,meaning,example,sentence,rating
EXPONENTIAL,7,7,49,(of an increase) becoming more and more rapid.,the social security budget was rising at an exponential rate,"Data is everywhere, and is found in huge and exponentially increasing quantities",4
PARADIGM,7,7,49,A typical example or pattern of something; a model.,there is a new paradigm for public art in this country,"Treating Data Science projects with a Defined Beginning and Outcome could be a blunder as before an Organization reaches stability in its Analytics and Data Science paradigm, it will go through an extensive period (couple of years at-least or even more) of trial and error phase of what works and what does not, what data is relevant, what model performs and what model needs to be deployed eventually that produces a useful business metric that generates an incremental impact",4
MIXTURE,7,7,49,A substance made by mixing other substances together.,form the mixture into a manageable dough,"Multilevel, mixture or longitudinal modeling might also be considered",4
REWARDING,7,7,49,Providing satisfaction; gratifying.,skiing can be hugely rewarding,,4
ILLUSTRATE,7,7,49,"Provide (a book, newspaper, etc.) with pictures.",the guide is illustrated with full-color photographs,Figure 3 illustrates how a reconciler works,4
NODES,7,7,49,A point in a network or diagram at which lines or pathways intersect or branch.,the intersections of two or more such arteries would clearly become major nodes of traffic and urban activity,You can see the nodes sized by their betweenness centrality values here,4
VISIBLE,7,7,49,Able to be seen.,the church spire is visible from miles away,,4
INVESTIGATION,7,7,49,The action of investigating something or someone; formal or systematic examination or research.,he is under investigation for receiving illicit funds,If the decision is not defined or it’s not the main goal of the analytic investigation – the project will go down the drains to the rabbit hole,4
CHUNKS,8,6,48,Divide (something) into chunks.,chunk four pounds of pears,"To address the first point, you can consider time as small discrete chunks",4
GRID,8,6,48,Put into or set out as a grid.,the fen is gridded by intersecting dykes,The group griped about grids,4
LEGACY,8,6,48,An amount of money or property left to someone in a will.,my grandmother died and unexpectedly left me a small legacy,,4
INTERVAL,8,6,48,An intervening time or space.,"after his departure, there was an interval of many years without any meetings","Therefore, our confidence interval will be of [$81 806, $103 261]",4
LOOPS,8,6,48,Form (something) into a loop or loops; encircle.,she looped her arms around his neck,Feedback loops play an important role in all aspects of life as well as business,4
CORPUS,8,6,48,"A collection of written texts, especially the entire works of a particular author or a body of writing on a particular subject.",the Darwinian corpus,"Using a technique I borrowed from Kevin Markham of Data School, here’s how I derived the “fakest” and “realest” words in the corpus",4
ILLUSTRATION,8,6,48,"A picture illustrating a book, newspaper, etc.",an illustration of a yacht,"In the illustrations below, robot pictures in each category consist of robots with different head and body shapes",4
PODCAST,12,4,48,Make (a digital audio file) available as a podcast.,This is a great way to podcast your lecture or presentation.,"Let’s look at the positive side, this pandemic has disrupted the world, it has brought many businesses to a halt while some businesses have their client number shot sky-high (podcast and video conferencing services for one)",4
CRACK,8,6,48,Break or cause to break without a complete separation of the parts.,the ice all over the lake had cracked,One way to crack this is by looking at reality,4
PERSISTENT,8,6,48,Continuing firmly or obstinately in a course of action in spite of difficulty or opposition.,one of the government's most persistent critics,"In traditional IDEs, you are forced to reload your dataset and waste valuable time as many times as you restart your debugging process, in notebooks the dataset is persistent and is kept in memory for the entire duration (as long as the kernel is not reset)",4
DUMMY,8,6,48,"Create a mock-up of (a book, document, etc.)","when we received the galleys from the typesetter, we would have dummied the book",We might come across a situation where we need to generate some test data or use some dummy data in our analysis,4
UPWARD,8,6,48,"Toward a higher place, point, or level.",she peered upward at the sky,"Because of the strong seven-day season and upward trend in the data, we selected an additive winters ESM as the new base level model",4
OUTBREAK,9,5,45,"The sudden or violent start of something unwelcome, such as war, disease, etc.",the outbreak of World War II,"The eSIR model's forecasts aim to reveal ""turning points"" in the outbreak",4
ORGANISATION,9,5,45,"An organized group of people with a particular purpose, such as a business or government department.",a research organization,"Once the corpus of data is ready, organisations can get suitable tool(s) to build and gain insights",4
MACHINERY,9,5,45,Machines collectively.,farm machinery,Taking the minimum viable machinery approach also allows you to establish a baseline for your work,4
TWEETS,9,5,45,Make a chirping noise.,the birds were tweeting in the branches,"Whether it’s through blog posts, projects, tweets, or something else — it doesn’t really matter",4
ARCHITECT,9,5,45,Design and configure (a program or system),few software packages were architected with Ethernet access in mind,Big Data teaches you to build big data systems using an architecture that takes advantage of clustered hardware along with new tools designed specifically to capture and analyze web-scale data,4
TELECOM,9,5,45,Telecommunications.,businesses such as telecoms or public relations,"I have been working as a Data Science Professional for last 11 years and had the chance to engage with a number of employers, clients for their data science needs both as an employee and entrepreneur across multiple domains starting with Financial Services, Retail/FMCG/CPG, Telecom, Media and Entertainment, Digital Media, Education and Technology etc",4
PARSING,7,6,42,Resolve (a sentence) into its component parts and describe their syntactic roles.,I asked a couple of students to parse these sentences for me,"Suppose you’re given two binary strings, write a function adds them together without using any builtin string-to-int conversion or parsing tools",4
FLAVORS,7,6,42,Alter or enhance the taste of (food or drink) by adding a particular ingredient.,chunks of chicken flavoured with herbs,"Joins come in different flavors, and likely one of the more complex topics you will cover while learning SQL is getting them straight",4
ROUGH,7,6,42,A disreputable and violent person.,the rear of the column was attacked by roughs,RCloud was specifically designed to leverage existing systems and standards so communication between most parts of the system happens through HTTP,4
COHERENT,7,6,42,"(of an argument, theory, or policy) logical and consistent.",they failed to develop a coherent economic strategy,"Imagine this: During an Ebola outbreak, you’d get maybe five or maybe 100 different Excel sheets daily from different health facilities, which you have to merge into a coherent database",4
MAKER,7,6,42,A person or thing that makes or produces something.,film-makers,Getting insights from data is an aspect decision-makers focus on most often,4
PROFICIENT,7,6,42,A person who is proficient.,he became a proficient in Latin and Greek,"On the other hand, software engineers are proficient in this task and can easily have this done for a large software system",4
CONTRIBUTOR,7,6,42,A person or thing that contributes something.,Hunt was the largest contributor of hymns to these collections,"This was a private event to bring together the top Neo4j open source contributors, influencers and inspirational community leaders",4
SYMPTOMS,7,6,42,"A physical or mental feature which is regarded as indicating a condition of disease, particularly such a feature that is apparent to the patient.",dental problems may be a symptom of other illness,"Those skills are the result of lessons learned, years of listening to business users complain about their problems, and translating those symptoms into a properly-framed business problem",4
SUSTAINABLE,7,6,42,Able to be maintained at a certain rate or level.,sustainable fusion reactions,"Smart City GIS is an integrated cross-sectoral platform to collect, manage, compile, analyze and visualize spatio-temporal information for sustainable urban planning, development and management",4
GRAMMAR,7,6,42,"The whole system and structure of a language or of languages in general, usually taken as consisting of syntax and morphology (including inflections) and sometimes also phonology and semantics.","To analyse language and to define language disorders most linguists divide language into four domains: phonology, grammar, semantics, and pragmatics.","Karl Pearson, regarded by many as the father of modern statistics, dubbed this new field ""the grammar of science",4
SKEWED,7,6,42,Suddenly change direction or position.,the car had skewed across the track,"2, which is skewed towards point 9 rather than the 4 points whose values are close to one another",4
RIGOROUS,7,6,42,"Extremely thorough, exhaustive, or accurate.",the rigorous testing of consumer products,"Springboard’s rigorous 200-hour curriculum for Data Science Career Track was curated by experts from IBM, Cisco, and Pindrop Security",4
TITANIC,7,6,42,"Of exceptional strength, size, or power.",a series of titanic explosions,"The image below shows partial examples of classification of Titanic (A), MNIST (B), and iris (C) datasets",4
IDENTIFICATION,7,6,42,The action or process of identifying someone or something or the fact of being identified.,each child was tagged with a number for identification,Outage detection and prediction starts with the identification of the right metrics and the threshold value for it,4
REWARD,7,6,42,"Make a gift of something to (someone) in recognition of their services, efforts, or achievements.",the engineer who supervised the work was rewarded with a bonus,"For example, a retail marketing manager might want to determine the demographics of customers who spend the most per purchase and target those customers with special offers or loyalty rewards",4
LIFT,7,6,42,Raise to a higher position or level.,he lifted his trophy over his head,This app helps you boost your productivity and uplift your skills,4
COMPETENT,7,6,42,"Having the necessary ability, knowledge, or skill to do something successfully.",a highly competent surgeon,"More fundamentally, all statisticians are not equally competent or will even define competence in the same way",4
SHARP,7,6,42,A musical note raised a semitone above natural pitch.,"Choices in successive levels expand to all notes, then sharps and flats.",Data is giving companies a sharp advantage over their competitors,4
TIGHTLY,7,6,42,Closely and firmly.,my hand gripped tightly onto the knife,Users who didn't purchase any organic foods were tightly clustered within the latent space,4
GROWN,7,6,42,(of a living thing) undergo natural development by increasing in size and changing physically.,he would watch Nick grow to manhood,"Since first measuring the radiative forcing of each greenhouse gas, carbon dioxide’s influence has continually grown",4
BATCHES,7,6,42,Arrange (things) in sets or groups.,I had nothing to do but batch the reports,"Now, we want to provide tight batches to this model, such that each batch has the same sequence length based on the max sequence length in the batch to minimize padding",4
TRANSFORMERS,7,6,42,An apparatus for reducing or increasing the voltage of an alternating current.,LED lights require a transformer to turn alternating current to direct current.,Transformers have become the defacto standard for any NLP tasks nowadays,4
INDICATORS,7,6,42,A thing that indicates the state or level of something.,car ownership is frequently used as an indicator of affluence,In addition to the above two indicators there are many other factors which one would have to be aware of which will indicate failure,4
MENTORS,7,6,42,"Advise or train (someone, especially a younger colleague)",both trainees were expertly mentored by a site supervisor,There has been discussion in data science community organizations about offering mentorship programs,4
DISAGREE,7,6,42,Have or express a different opinion.,no one was willing to disagree with him,"To understand our findings, we have to remind ourselves that Snorkel’s label model learns to predict the accuracy and correlations of the labelling functions based on agreements and disagreements amongst each other",4
UNICORN,7,6,42,A mythical animal typically represented as a horse with a single straight horn projecting from its forehead.,Could it be that true political geniuses are as mythical as unicorns?,"In medieval times, a Unicorn was a rare and mythical creature with great powers",4
ASSIGNMENTS,7,6,42,A task or piece of work allocated to someone as part of a job or course of study.,a homework assignment,,4
HARDEST,7,6,42,With a great deal of effort.,they work hard at school,I think we all agree that the hardest part of everything is always in the beginning,4
ADVENT,7,6,42,"The arrival of a notable person, thing, or event.",the advent of television,"Since the beginning of the 21st century, data stockpiles have expanded exponentially, largely thanks to advents in processing and storage that are both efficient and cost-effective at scale",4
DECLINE,7,6,42,"(typically of something regarded as good) become smaller, fewer, or less; decrease.",the birth rate continued to decline,,4
SIMPLISTIC,7,6,42,Treating complex issues and problems as if they were much simpler than they really are.,simplistic solutions,"Even with a simplistic model like this, one can generate reasonable-looking schedules within minutes",4
NOISY,7,6,42,Making or given to making a lot of noise.,"a noisy, giggling group of children","The data are notoriously noisy, and furthermore tend to go through many stages of preprocessing before the statisticians even get to see them",4
SKEPTICAL,7,6,42,Not easily convinced; having doubts or reservations.,the public were deeply skeptical about some of the proposals,I’ll admit to being skeptical that within 10-15 years we will fully understand the human mind,4
ADVISOR,7,6,42,A person who gives advice in a particular field.,the military adviser to the President,"And I put together a great team of advisors, too",4
UNBALANCED,8,5,40,Not keeping or showing an even balance; not evenly distributed.,The upside of this setup is that it can accept either balanced or unbalanced signal input.,"For example, the accuracy metric is far from ideal if you have unbalanced classes",4
PITCH,8,5,40,Throw (the ball) for the batter to try to hit.,He threw the ball back to her and she gave the batter a whole two seconds before pitching the same ball.,"Profile summary is key to a resume, consider it as an elevator pitch",4
COIN,8,5,40,Make (coins) by stamping metal.,guineas and half-guineas were coined,"Data are quickly becoming a new form of capital, a different coin, and an innovative source of value",4
PREVALENT,6,6,36,Widespread in a particular area or at a particular time.,the social ills prevalent in society today,The Hadoop Ecosystem projects are the most prevalent and widely adopted distributed computing frameworks and interfaces,4
TOSS,6,6,36,"Throw (something) somewhere lightly, easily, or casually.",Suzy tossed her bag onto the sofa,"If we toss a fair coin 100 million times, we have the expected number of heads (mean) as 50 million, the standard deviation =10,000 (using formula 0",4
FREELY,6,6,36,Not under the control of another; as one wishes.,I roamed freely,,4
STRUCK,6,6,36,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me","One thing that struck me is that you have a team of 40 people and you're overweight PhDs doing advanced, high-accuracy, expensive ML models",4
COLLABORATING,6,6,36,Work jointly on an activity or project.,he collaborated with him on numerous hotel projects,Rumor has it that Botnik and folk RNN have been collaborating based on an introduction made through Rev conference,4
STRONGER,6,6,36,Having the power to move heavy weights or perform other physically demanding tasks.,she cut through the water with her strong arms,"The reliance on modeling might sometimes be a little bit too much, but there is a stronger collaboration between mathematicians, classical epidemiologists and field epidemiologists these days",4
STRUGGLING,6,6,36,Striving to achieve or attain something in the face of difficulty or resistance.,these figures suggest more bad news for struggling homeowners,"Years later, the strategy doesn’t seem to be paying off: their revenue is struggling and the early successes aren’t repeating themselves",4
STEADY,6,6,36,Make or become steady.,I took a deep breath to steady my nerves,Boring problems are good because they represent steady-state operational issues,4
TWEAK,6,6,36,Twist or pull (something) sharply.,he tweaked the boy's ear,"So for this purpose, I have tweaked the web scraper to scrape 1000 job postings from glassdoor",4
FRUSTRATION,6,6,36,"The feeling of being upset or annoyed, especially because of inability to change or achieve something.",I sometimes feel like screaming with frustration,"Moreover, recommending a wrong hotel or an apartment may cause more customer frustration than suggesting a video, for instance",4
EXPORT,6,6,36,Send (goods or services) to another country for sale.,we exported $16 million worth of mussels to Japan,"It takes up the exported chats file (without media), cleans it, runs all the stats generation custom functions, and displays it to the user on the go! The file uploaded is deleted as soon as the stats are generated for privacy",4
ENDEAVOR,6,6,36,Try hard to do or achieve something.,he is endeavoring to help the Third World,"In this article, we argue analytics is no different from any other business endeavor and can be assessed and managed accordingly",4
ATTEMPTED,6,6,36,Make an effort to achieve or complete (something difficult),she attempted a comeback in 2001,"When building our model, we attempted not only to use the available information, but also discover the factors which could affect the results",4
ARISE,6,6,36,"(of a problem, opportunity, or situation) emerge; become apparent.",new difficulties had arisen,"In the last few blogs, we saw how to summarise and analyse the data using statistical methods and visualisations",4
EVENTUAL,6,6,36,Occurring at the end of or as a result of a series of events; final; ultimate.,it's impossible to predict the eventual outcome of the competition,"Treating Data Science projects with a Defined Beginning and Outcome could be a blunder as before an Organization reaches stability in its Analytics and Data Science paradigm, it will go through an extensive period (couple of years at-least or even more) of trial and error phase of what works and what does not, what data is relevant, what model performs and what model needs to be deployed eventually that produces a useful business metric that generates an incremental impact",4
REJECT,6,6,36,"Dismiss as inadequate, inappropriate, or not to one's taste.",union negotiators rejected a 1.5 percent pay increase,"Knowing the difference between the practices is vital to approving or rejecting a proposed project, hiring staff with skills needed for a BI or a DS project, and architecting a data management platform that can support both",4
FACIAL,6,6,36,A beauty treatment for the face.,"the offer includes a facial, makeup, and manicure",,4
COMPLEMENTARY,6,6,36,Combining in such a way as to enhance or emphasize the qualities of each other or another.,"three guitarists playing interlocking, complementary parts",,4
TIED,6,6,36,Fastened or attached with string or similar cord.,a neatly tied package,,4
RELIED,6,6,36,Depend on with full trust or confidence.,I know I can rely on your discretion,"Some large-scale festivals, such as the United Kingdom’s Glastonbury, have also relied on data science to predict outcomes and prevent disappointment",4
ENORMOUSLY,6,6,36,To a very great degree or extent; considerably.,quality of life varies enormously from one place to another,"Furthermore, practitioners, who enormously outnumber Ivory Tower statisticians, are sometimes given data with little background information and asked to find something “interesting",4
THEREBY,6,6,36,By that means; as a result of that.,"students perform in hospitals, thereby gaining a deeper awareness of the therapeutic power of music","There may be occasions where data is collected on a feature that accumulates, thereby having an infinite upper boundary",4
WEAKNESSES,6,6,36,The state or condition of being weak.,the country's weakness in international dealings,,4
REGULATORY,6,6,36,Serving or intended to regulate something.,the existing legal and regulatory framework,,4
ARTICULATE,6,6,36,Express (an idea or feeling) fluently and coherently.,they were unable to articulate their emotions,Companies give priority to candidates who not only articulate good data science solutions but also can efficiently implement using the right tools,4
ENTHUSIASTIC,6,6,36,"Having or showing intense and eager enjoyment, interest, or approval.",the promoter was enthusiastic about the concert venue,Many people can relate to the scenario of joining a gym and making good on promises to get fit but becoming less enthusiastic over time,4
FOSTER,6,6,36,"Encourage or promote the development of (something, typically something regarded as good)",the teacher's task is to foster learning,"Our goal in designing this conference was not only to present the latest research for leading minds in tech, but also to foster connections between tech professionals at all career stages – from students to business leaders alike",4
LOGISTICS,6,6,36,"The detailed coordination of a complex operation involving many people, facilities, or supplies.",the logistics and costs of a vaccination campaign,"For example, ecommerce companies end up dealing with a ton of different products in the ERP / logistics / shipping domain",4
FOLD,6,6,36,Bend (something flexible and relatively flat) over on itself so that one part of it covers another.,she folded all her clothes and packed all her bags,"The way to increase the number of women in AI, ML and data science is two-fold",4
WAREHOUSES,6,6,36,Store (goods) in a warehouse.,the pallets were warehoused the following day,,4
WAREHOUSING,6,6,36,The practice or process of storing goods in a warehouse.,The Council approved an order to accommodate two planning applications seeking to develop a toy store and retail warehousing with car parking at a site on Mercy Road.,"Online transaction processing systems (OLTP), along with data warehousing, typically use mainframe systems for batch processing",4
CLARIFY,6,6,36,Make (a statement or situation) less confused and more clearly comprehensible.,the report managed to clarify the government's position,This stage is significant because it helps clarify the customer’s target,4
MERE,6,6,36,That is solely or no more or better than what is specified.,questions that cannot be answered by mere mortals,In this tutorial we merely scratched the ground,4
TRUSTWORTHY,6,6,36,Able to be relied on as honest or truthful.,leave a spare key with a trustworthy neighbor,"Now, it is important that the insights you gather from the analysis of this information is accurate and trustworthy",4
FOREFRONT,6,6,36,The leading or most important position or place.,we are at the forefront of developments,Streaming services are at the forefront of the data science revolution,4
STACKING,6,6,36,"Arrange (a number of things) in a pile, typically a neat one.","she stood up, beginning to stack the plates",Utilizing stacking (stacked generalizations) is a very hot topic when it comes to pushing your machine learning algorithm to new heights,4
AUDIENCES,6,6,36,"The assembled spectators or listeners at a public event such as a play, film, concert, or meeting.",he asked for questions from members of the audience,,4
REPETITIVE,6,6,36,"Containing or characterized by repetition, especially when unnecessary or tiresome.",a repetitive task,,4
REFINING,6,6,36,"Remove impurities or unwanted elements from (a substance), typically as part of an industrial process.",sugar was refined by boiling it in huge iron vats,,4
SUBSEQUENTLY,6,6,36,After a particular thing has happened; afterward.,Mel's offhand remark subsequently became their rallying cry,He subsequently moved to The University of Manchester where he obtained PhD on project sponsored by QinetiQ related to data analytics for helicopter gearbox diagnostics,4
REFINE,6,6,36,"Remove impurities or unwanted elements from (a substance), typically as part of an industrial process.",sugar was refined by boiling it in huge iron vats,"As the data exploration goes, the hypothesis is constantly refined and new insights are discovered",4
UMBRELLA,6,6,36,"A device consisting of a circular canopy of cloth on a folding metal frame supported by a central rod, used as protection against rain or sometimes sun.","Yet as I pack a bag to hold water and umbrellas and tissue paper, I'm quite aware that the three hours will not feel like that.",Data Science is in general an umbrella term,4
THREAT,6,6,36,"A statement of an intention to inflict pain, injury, damage, or other hostile action on someone in retribution for something done or not done.",members of her family have received death threats,"Although I have mostly emphasized threats to marketing data science in this article, as a marketing data science person myself my own biases mostly run in the opposite direction",4
ARRIVE,6,6,36,Reach a place at the end of a journey or a stage in a journey.,we arrived at his house and knocked at the door,"Today was a typical day, I arrived in anticipation of my weekly meeting with the Vice President of Data Science",4
PARTIAL,6,6,36,A component of a musical sound; an overtone or harmonic.,the upper partials of the string,This is partially happening with the benchmarks usually provided by the literature,4
ADAPTED,6,6,36,Make (something) suitable for a new use or purpose; modify.,hospitals have had to be adapted for modern medical practice,,4
MESS,6,6,36,Make untidy or dirty.,"she scratched her head, messing her hair still further",Any job search advice you’d like to add? Connect on LinkedIn and message me,4
OCCURRENCE,6,6,36,An incident or event.,vandalism used to be a rare occurrence,"To solve this query, we cannot directly count the occurrence of user_id’s and if it is more than one return that user_id because a given user can have more than one transaction on a single day",4
TEAMMATES,6,6,36,A fellow member of a team.,"She stood there thinking about hockey, and the Olympics and her fellow teammates.","Here, too, the usual job-interview advice applies: Be honest about where you can add a lot of value, but don’t be shy about where you expect to get a little bit of help from your teammates",4
COMMIT,6,6,36,"Carry out or perpetrate (a mistake, crime, or immoral act)",he committed an uncharacteristic error,A key thing to note is that I already had lots of exposure to the field which is what has allowed me to progress as I have; I’d say the most important thing I have done to change the trajectory of my career was to commit,4
FRACTION,6,6,36,"A numerical quantity that is not a whole number (e.g. 1/2, 0.5).","The Mathematics Computation subtest assesses skills in computing with whole numbers, fractions, mixed numbers, decimals, and algebraic equations.",A new research paper is published every 30 seconds yet scientists currently only use a fraction of the knowledge available to understand the cause of disease and propose new treatments,4
CONCLUDE,6,6,36,Bring (something) to an end.,they conclude their study with these words,"Upon initial analysis, we can conclude that if a given node N has its corresponding P-value as NULL it is the root",4
EXPLOSION,6,6,36,"A violent and destructive shattering or blowing apart of something, as is caused by a bomb.",A medic had found her on the platform near one of the commuter trains that had been ripped apart by twin bomb explosions.,"The recent explosion of interest in data science, data mining, and related disciplines has been mirrored by an explosion in book titles on these same topics",4
DISCRIMINATION,6,6,36,"The unjust or prejudicial treatment of different categories of people, especially on the grounds of ethnicity, age, sex, or disability.",victims of racial discrimination,,4
UPLOAD,6,6,36,"Transfer (data) from one computer to another, typically to one that is larger or remote from the user or functioning as a server.",you can upload your prepared text,"Once you’ve solved the problem of interest, you then have to create a project repository on GitHub and upload project files such as datasets, jupyter notebooks, R program scripts, and sample outputs",4
DESIRABLE,6,6,36,"A desirable person, thing, or quality.",the store sells various desirables,Deep learning algorithms were found to be a desirable skill to acquire by 50,4
NAIVE,6,6,36,"(of a person or action) showing a lack of experience, wisdom, or judgment.",the rather naive young man had been totally misled,"At the same time, we’ve seen data used to cause harm though a combination of negligence, naivety, and sophisticated attacks",4
SEXIEST,6,6,36,Sexually attractive or exciting.,sexy French underwear,"Data Science is no doubt the ""sexiest"" career path of the 21st century, made up of people with strong intellectual curiosity and technical expertise to dig out valuable insights from humongous volumes of data",4
NEUROSCIENCE,6,6,36,"Any or all of the sciences, such as neurochemistry and experimental psychology, which deal with the structure or function of the nervous system and brain.",the company's research areas include the neurosciences,"Neuroscience, to me, refers loosely to the study of the brain",4
KPIS,6,6,36,short for key performance indicator,by setting KPIs the company enables the team to make smart business decisions about the direction of all current projects,"In research, we look at the product demands, assign features, think of possible algorithmic solutions, define goals and KPIs",4
VERTICALS,6,6,36,A vertical line or plane.,the columns incline several degrees away from the vertical,"These last three years, our group has lead numerous data science projects across diverse verticals, including ad tech, fin tech, health tech, cloud computing, security, and the telecom industry",4
ABSORB,6,6,36,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat,,4
INEVITABLE,6,6,36,A situation that is unavoidable.,by the morning he had accepted the inevitable,,4
KURTOSIS,12,3,36,The sharpness of the peak of a frequency-distribution curve.,"Skewness was not detected in these distributions, but kurtosis was in two of them.",Coming back to the informal definition of kurtosis as a measure of the peakidness of the distribution,4
TRAP,6,6,36,Catch (an animal) in a trap.,Once he dreamed he was trying to trap foxes but kept catching Dalmatians.,"It may seem obvious, but if you have a dataset with many columns, you can be easily trapped",4
AFFORDABLE,6,6,36,Inexpensive; reasonably priced.,affordable housing,The energy and utility companies are under constant pressure to provide high-quality services without delays and failures at an affordable price 24/7,4
HINTS,6,6,36,Suggest or indicate something indirectly or covertly.,the Minister hinted at a possible change of heart,Note: The flowchart already hints at the circular nature of the typical deep learning workflow,4
INEVITABLY,6,6,36,As is certain to happen; unavoidably.,inevitably some details are already out of date,"When starting to deal with the scientific task in Python, one inevitably comes for help to Python’s SciPy Stack, which is a collection of software specifically designed for scientific computing in Python (do not confuse with SciPy library, which is part of this stack, and the community around this stack)",4
JARGON,6,6,36,Special words or expressions that are used by a particular profession or group and are difficult for others to understand.,legal jargon,,4
BRIEFLY,6,6,36,For a short time; fleetingly.,he worked briefly as a lawyer,,4
RESTRICTIONS,6,6,36,"A limiting condition or measure, especially a legal one.",planning restrictions on commercial development,,4
PREFERABLY,6,6,36,Ideally; if possible.,"he would like a place of his own, preferably outside the town","We should also consider a few large steps that need executing, namely, creating a data lake and preferably stream processing as well",4
DISCREPANCIES,6,6,36,An illogical or surprising lack of compatibility or similarity between two or more facts.,there's a discrepancy between your account and his,"As mentioned in the introduction, people often discuss the gender gap by citing wage discrepancies",4
SUMMARIZES,6,6,36,Give a brief statement of the main points of (something),these results can be summarized in the following table,Each principal component summarizes an aspect of variance in the data,4
ANALYSE,6,6,36,"Examine (something) methodically and in detail, typically in order to explain and interpret it.",we need to analyse our results more clearly,"During World War II, researchers from the non-profit research group the Center for Naval Analyses were tasked with a problem",4
SURVIVE,6,6,36,"Continue to live or exist, especially in spite of danger or hardship.",against all odds the child survived,"Data scientists are becoming more involved in the delivery pipeline of products, and it is a non-trivial task ensuring that their work survives the delivery process",4
SCATTER,6,6,36,Throw in various random directions.,scatter the coconut over the icing,Matplotlib simulates raindrops on a surface by animating the scale and opacity of 50 scatter points,4
SEQUENTIAL,6,6,36,Forming or following in a logical order or sequence.,a series of sequential steps,We picked Tekton because the primary challenge we faced was sequentially running a series of CLIs in various containers,4
BRILLIANT,6,6,36,A diamond of brilliant cut.,an elegant necklace with four rows of brilliants,This is when we collectively get “high” intellectually to problem-solve and propose brilliant ideas,4
JUDGEMENT,6,6,36,The ability to make considered decisions or come to sensible conclusions.,an error of judgement,"Traditionally, retailers would have consultants in store that would use their own judgement to help customers find what they need",4
PROTOTYPING,6,6,36,Make a prototype of (a product),Mercedes is prototyping a car sunroof which changes from clear to tinted,Bridge the deployment gap for agile prototyping of data products: Learn to use tools for logging and monitoring,4
WORKPLACE,6,6,36,"A place where people work, such as an office or factory.",health and safety in the workplace,Dell previously performed an investigation and found a lack of workplace readiness was a substantial barrier for Middle Eastern countries wishing to be competitive in the digital age,4
IMPLICATION,6,6,36,The conclusion that can be drawn from something although it is not explicitly stated.,the implication is that no one person at the bank is responsible,Understand the implication of your project,4
PROTOTYPES,6,6,36,Make a prototype of (a product),Mercedes is prototyping a car sunroof which changes from clear to tinted,Prototypes often end up being forgotten scripts living in some ancient repositories,4
INCIDENTS,6,6,36,An instance of something happening; an event or occurrence.,several amusing incidents,"For example, a sample of terror incidents could be selected for analysis based on the country attacked, suspect’s country of origin, basis for entry (refugee, student, fiancé, etcetera) and era (for example, before or after 9/11)",4
IMMENSELY,6,6,36,To a great extent; extremely.,the president was immensely popular,"These “old” methods, which continue to evolve, can be immensely helpful in shedding light on the Why",4
INCLUSION,6,6,36,The action or state of including or of being included within a group or structure.,federal legislation now mandates the inclusion of students who are English language learners,,4
INCOMPLETE,6,6,36,Not having all the necessary or appropriate parts.,the records are patchy and incomplete,,4
BREAKTHROUGH,6,6,36,"A sudden, dramatic, and important discovery or development.",a major breakthrough in DNA research,,4
INCORPORATING,6,6,36,Take in or contain (something) as part of a whole; include.,he has incorporated in his proposals a number of measures,,4
SCRAPING,6,6,36,The action or sound of something scraping or being scraped.,the scraping of the spoon in the bowl,"While there are learning benefits to acquiring your own datasets or scraping the web, the downside to that is there is no benchmark, no way to compare your findings",4
BELONG,6,6,36,Be the property of.,the vehicle did not belong to him,So for the first row our classifier thinks that it belongs to training data with ,4
INCREDIBLE,6,6,36,Impossible to believe.,an almost incredible tale of triumph and tragedy,Python is an incredible language for data science and those who want to start in the field of data science,4
IGNORED,6,6,36,Refuse to take notice of or acknowledge; disregard intentionally.,he ignored her outraged question,"Moreover, it may appear cost-effective if the investment in data infrastructure and analytics teams are ignored",4
TRANSPARENCY,6,6,36,The condition of being transparent.,the transparency of ice,"When it comes to the utility I see in these types of tools, what’s really important is reproducibility and transparency on how the analysis was performed",4
HYPOTHETICAL,6,6,36,A hypothetical proposition or statement.,"Finn talked in hypotheticals, tossing what-if scenarios to Rosen","For such questions, the candidate is expected to code up a solution to a hypothetical applied problem, which is usually related to the company’s business model",4
ROADMAP,6,6,36,Schedule as part of a lengthy or complex program.,"originally roadmapped for an early Q4 release, the next generation of the processor will ship in the last few days of the year",Just a note: I've prepared this roadmap based on my personal experience in data science,4
KEYNOTE,6,6,36,"A prevailing tone or central theme, typically one set or introduced at the start of a conference.",individuality is the keynote of the Nineties,"Global Data Science Conference emphasizes on sharing real world experiences, how to create a balanced big data science team, Panel Sessions, Keynote Sessions and workshop",4
BUZZ,6,6,36,"A low, continuous humming or murmuring sound, made by or similar to that made by an insect.",the buzz of the bees,You may be wondering why the term Big Data has become so buzzworthy,4
TAILORED,6,6,36,"(of clothes) smart, fitted, and well cut.",a tailored charcoal-gray suit,"The more carefully tailored your portfolio is to the specific jobs you’re applying for, the better the results you’re likely to get",4
DEPENDENCY,6,6,36,"A dependent or subordinate thing, especially a country or province controlled by another.",the islands became dependencies of Norway and Denmark,,4
BRIGHT,6,6,36,Luminously.,a full moon shining bright,"On the bright side, by the time you get to your interview, most of your work is done",4
